s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_CELLULOSE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-1.2050409E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2050409E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.6673670E-001, 0.0000000E+000,-1.6688002E-002,-8.0674758E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.7362760E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1334734E+000, 9.0419669E+002,-1.6670942E-002, 1.5409032E+001, 6.0266272E-006, 8.1058940E-002, 0.0000000E+000, 0.0000000E+000,-1.4607077E-002, 9.1967011E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 1.7002101E+000, 1.7107054E+003,-3.9173030E+002,-9.8601949E+001,-5.9513075E-001, 4.9107978E-001, 0.0000000E+000, 0.0000000E+000, 8.3290970E+002, 1.2202691E+003, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 2.2669468E+000, 2.1063751E+003,-2.8581243E+003, 6.7007064E+002,-1.5687837E+000, 5.6904314E-001, 0.0000000E+000, 0.0000000E+000, 1.2579844E+003,-8.2678301E+001, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 2.5371761E+000, 2.9882258E+003,-6.0737080E+002,-3.1688673E+002,-3.2959987E+001, 6.3535962E-001, 0.0000000E+000, 0.0000000E+000,-5.7346705E+002, 2.0316436E+003, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 2.8344283E+000, 2.5031429E+003,-1.5710369E+003,-2.0524160E+002,-8.9281552E+001, 6.4072791E-001, 0.0000000E+000, 0.0000000E+000, 1.9640746E+003, 6.3822362E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 3.1316807E+000, 2.4643475E+003,-6.3506730E+002,-3.2505913E+002,-7.8767918E+001, 6.5559613E-001, 0.0000000E+000, 0.0000000E+000, 5.7513075E+002, 1.4261087E+003, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 3.3602912E+000, 2.4803300E+003,-8.1560524E+002,-5.4035801E+002,-2.0538892E+002, 6.5212980E-001, 0.0000000E+000, 0.0000000E+000, 1.2671465E+003, 9.1962999E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 3.5889018E+000, 2.3923557E+003,-6.0550720E+002,-5.2875158E+002,-2.1062458E+002, 6.5191071E-001, 0.0000000E+000, 0.0000000E+000, 1.0138158E+003, 1.0481243E+003, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 3.8175123E+000, 2.3190409E+003,-5.4204962E+002,-6.6807317E+002,-3.6543520E+002, 6.5292703E-001, 0.0000000E+000, 0.0000000E+000, 1.0556119E+003, 7.4413581E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 4.0057712E+000, 2.3594000E+003,-6.9450612E+002,-7.5858030E+002,-3.5184186E+002, 6.4997712E-001, 0.0000000E+000, 0.0000000E+000, 8.4037205E+002, 5.5512170E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 4.1940303E+000, 2.3162379E+003,-5.3376692E+002,-7.4717244E+002,-3.3513903E+002, 6.4744968E-001, 0.0000000E+000, 0.0000000E+000, 6.0005621E+002, 7.0080693E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 4.3822894E+000, 2.3106859E+003,-5.2051673E+002,-9.1138864E+002,-2.0562395E+002, 6.4319055E-001, 0.0000000E+000, 0.0000000E+000, 7.9919894E+002, 6.7379977E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 4.5441060E+000, 2.3201760E+003,-4.0172173E+002,-9.3999135E+002,-2.0410624E+002, 6.4283506E-001, 0.0000000E+000, 0.0000000E+000, 6.6456226E+002, 7.7499949E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 4.7059226E+000, 2.3110220E+003,-3.0062795E+002,-1.0151076E+003,-1.1153979E+002, 6.3971172E-001, 0.0000000E+000, 0.0000000E+000, 8.1437436E+002, 8.8438641E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 4.8677397E+000, 2.3053299E+003,-4.1708958E+002,-1.0457402E+003,-1.0805804E+002, 6.3857541E-001, 0.0000000E+000, 0.0000000E+000, 9.5317001E+002, 7.3508063E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 5.0295563E+000, 2.3038801E+003,-6.6382992E+002,-1.0746838E+003,-1.1625413E+002, 6.3853962E-001, 0.0000000E+000, 0.0000000E+000, 7.2147656E+002, 4.4975077E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 5.1913733E+000, 2.3091749E+003,-5.7626609E+002,-1.0077242E+003,-1.1420272E+002, 6.3872988E-001, 0.0000000E+000, 0.0000000E+000, 4.8734465E+002, 6.1162061E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 5.3357410E+000, 2.3487080E+003,-5.7748798E+002,-1.0326796E+003,-1.1296103E+002, 6.3861675E-001, 0.0000000E+000, 0.0000000E+000, 5.6850070E+002, 6.2621801E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 5.4801092E+000, 2.3487540E+003,-6.1247691E+002,-1.0285287E+003,-1.2317092E+002, 6.3855587E-001, 0.0000000E+000, 0.0000000E+000, 5.9405034E+002, 5.8521597E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 5.6244774E+000, 2.3545592E+003,-6.7268550E+002,-1.0767319E+003,-1.2283796E+002, 6.3861177E-001, 0.0000000E+000, 0.0000000E+000, 6.2959055E+002, 4.8294249E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 5.7688451E+000, 2.3522754E+003,-6.5315058E+002,-1.1037417E+003,-1.3211409E+002, 6.4038244E-001, 0.0000000E+000, 0.0000000E+000, 4.6707334E+002, 4.6390941E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 5.9132133E+000, 2.3545414E+003,-6.2014218E+002,-1.0865447E+003,-1.3213737E+002, 6.4010683E-001, 0.0000000E+000, 0.0000000E+000, 4.9556560E+002, 5.1635723E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 6.0575809E+000, 2.3595401E+003,-5.8258859E+002,-1.0955528E+003,-1.3286213E+002, 6.3950049E-001, 0.0000000E+000, 0.0000000E+000, 6.0433415E+002, 5.4917604E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 6.2019491E+000, 2.3656403E+003,-5.7313940E+002,-1.1075315E+003,-1.4131900E+002, 6.3932082E-001, 0.0000000E+000, 0.0000000E+000, 5.7093605E+002, 5.4428970E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 6.3463168E+000, 2.3726907E+003,-5.7110080E+002,-1.0939826E+003,-6.0278758E+001, 6.4027950E-001, 0.0000000E+000, 0.0000000E+000, 6.1178575E+002, 6.4796880E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 6.5051217E+000, 2.3559546E+003,-5.5449753E+002,-1.1032768E+003,-6.6083678E+001, 6.4068995E-001, 0.0000000E+000, 0.0000000E+000, 6.6802824E+002, 6.3273729E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 6.6639266E+000, 2.3729101E+003,-5.4519499E+002,-1.1627493E+003,-6.7022940E+001, 6.4089014E-001, 0.0000000E+000, 0.0000000E+000, 6.1979842E+002, 5.9858378E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 6.8227310E+000, 2.3837386E+003,-5.5115281E+002,-1.1651678E+003,-6.8524631E+001, 6.4092228E-001, 0.0000000E+000, 0.0000000E+000, 6.4502989E+002, 5.9953422E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 6.9815359E+000, 2.3890402E+003,-5.2295784E+002,-1.2245507E+003,-7.4853705E+001, 6.4087009E-001, 0.0000000E+000, 0.0000000E+000, 5.9171267E+002, 5.6731889E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 7.1403408E+000, 2.3877241E+003,-5.2577364E+002,-1.2069880E+003,-7.6965794E+001, 6.4071910E-001, 0.0000000E+000, 0.0000000E+000, 6.1737045E+002, 5.7863737E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 7.3150258E+000, 2.3509416E+003,-5.2898507E+002,-1.2751668E+003,-8.2819592E+001, 6.4049758E-001, 0.0000000E+000, 0.0000000E+000, 6.3380635E+002, 4.6461059E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 7.4897113E+000, 2.3544325E+003,-5.2286265E+002,-1.2902895E+003,-8.5481958E+001, 6.4042671E-001, 0.0000000E+000, 0.0000000E+000, 5.2286450E+002, 4.5643887E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 7.6643963E+000, 2.3533093E+003,-5.2050754E+002,-1.2812343E+003,-1.5591550E+002, 6.4034118E-001, 0.0000000E+000, 0.0000000E+000, 4.8206505E+002, 3.9629225E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 7.8390818E+000, 2.3421405E+003,-5.1926815E+002,-1.3425707E+003,-9.3399469E+001, 6.4016038E-001, 0.0000000E+000, 0.0000000E+000, 5.0042164E+002, 3.8754238E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 8.0137672E+000, 2.3301832E+003,-5.2718732E+002,-1.3355077E+003,-9.6029105E+001, 6.3996947E-001, 0.0000000E+000, 0.0000000E+000, 4.3224315E+002, 3.7209903E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 8.1884518E+000, 2.3203314E+003,-5.2511556E+002,-1.2720728E+003,-1.6429362E+002, 6.3985577E-001, 0.0000000E+000, 0.0000000E+000, 4.2770201E+002, 3.5948923E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 8.3631372E+000, 2.3108691E+003,-5.2039294E+002,-1.2850259E+003,-2.0839089E+002, 6.3975189E-001, 0.0000000E+000, 0.0000000E+000, 3.9714263E+002, 2.9769915E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 8.5378227E+000, 2.3026120E+003,-5.2483118E+002,-1.3189598E+003,-1.0582061E+002, 6.3915307E-001, 0.0000000E+000, 0.0000000E+000, 4.1129642E+002, 3.5363958E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 8.7125082E+000, 2.2940593E+003,-5.2575545E+002,-1.2819662E+003,-1.0831204E+002, 6.3901484E-001, 0.0000000E+000, 0.0000000E+000, 4.4196823E+002, 3.7866457E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 8.8871927E+000, 2.2857805E+003,-5.2518194E+002,-1.2990655E+003,-1.1283271E+002, 6.3898066E-001, 0.0000000E+000, 0.0000000E+000, 4.4945122E+002, 3.4933936E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 9.0618782E+000, 2.2794200E+003,-5.2686404E+002,-1.2594856E+003,-1.1533966E+002, 6.3890638E-001, 0.0000000E+000, 0.0000000E+000, 4.4690878E+002, 3.7836966E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 9.2365637E+000, 2.2761016E+003,-5.2730935E+002,-1.2099452E+003,-1.1775039E+002, 6.3876530E-001, 0.0000000E+000, 0.0000000E+000, 4.5059166E+002, 4.2173538E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 9.4112492E+000, 2.2748416E+003,-5.2792229E+002,-1.1833401E+003,-1.6197080E+002, 6.3855957E-001, 0.0000000E+000, 0.0000000E+000, 4.7578758E+002, 4.0224695E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 9.5859337E+000, 2.2751977E+003,-5.3028630E+002,-1.1861643E+003,-1.2496087E+002, 6.3835084E-001, 0.0000000E+000, 0.0000000E+000, 5.0629298E+002, 4.3442459E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 9.7606192E+000, 2.2767606E+003,-5.3139717E+002,-1.1433609E+003,-1.5932440E+002, 6.3817475E-001, 0.0000000E+000, 0.0000000E+000, 5.0845931E+002, 4.4331630E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 9.9353046E+000, 2.2792015E+003,-5.3210376E+002,-1.1650159E+003,-1.3248615E+002, 6.3801200E-001, 0.0000000E+000, 0.0000000E+000, 5.1589968E+002, 4.5023363E+002, 0.0000000E+000, 1.6540695E-001, 0.0000000E+000
 1.0109990E+001, 2.2640989E+003,-5.3338889E+002,-1.1265418E+003,-1.3524476E+002, 6.0551244E-001, 0.0000000E+000, 0.0000000E+000, 5.3313373E+002, 4.6952899E+002, 0.0000000E+000, 1.5640881E-001, 0.0000000E+000
 1.0284675E+001, 2.2088322E+003,-5.2651572E+002,-1.1047256E+003,-1.4011407E+002, 5.5257415E-001, 0.0000000E+000, 0.0000000E+000, 5.5092311E+002, 4.3802939E+002, 0.0000000E+000, 1.4181992E-001, 0.0000000E+000
 1.0459360E+001, 2.1167471E+003,-5.0213986E+002,-1.0908098E+003,-1.4303657E+002, 5.0020612E-001, 0.0000000E+000, 0.0000000E+000, 4.9784606E+002, 3.8126110E+002, 0.0000000E+000, 1.2752876E-001, 0.0000000E+000
 1.0634046E+001, 1.9989447E+003,-4.6780133E+002,-1.0645082E+003,-1.4592847E+002, 4.4601608E-001, 0.0000000E+000, 0.0000000E+000, 4.4531959E+002, 3.2115266E+002, 0.0000000E+000, 1.1293986E-001, 0.0000000E+000
 1.0808730E+001, 1.8621193E+003,-4.1451168E+002,-1.0442718E+003,-1.5058425E+002, 3.9217348E-001, 0.0000000E+000, 0.0000000E+000, 3.9169275E+002, 2.5314373E+002, 0.0000000E+000, 9.8648703E-002, 0.0000000E+000
 1.0983416E+001, 1.7097689E+003,-3.5351217E+002,-1.0121473E+003,-1.5331237E+002, 3.3644056E-001, 0.0000000E+000, 0.0000000E+000, 3.3713253E+002, 1.9113344E+002, 0.0000000E+000, 8.4059810E-002, 0.0000000E+000
 1.1158101E+001, 1.5715442E+003,-3.1695632E+002,-9.3268934E+002,-1.8937348E+002, 3.3114507E-001, 0.0000000E+000, 0.0000000E+000, 2.7465821E+002, 1.3285618E+002, 0.0000000E+000, 8.2703473E-002, 0.0000000E+000
 1.1332787E+001, 1.4705216E+003,-1.1388847E+002,-9.6180203E+002,-1.6584842E+002, 3.3089864E-001, 0.0000000E+000, 0.0000000E+000, 2.2348258E+002, 2.2931358E+002, 0.0000000E+000, 8.2703473E-002, 0.0000000E+000
 1.1507471E+001, 1.3943696E+003,-1.0640668E+002,-9.1965850E+002,-1.6760661E+002, 3.3051385E-001, 0.0000000E+000, 0.0000000E+000, 3.2885466E+002, 2.0102835E+002, 0.0000000E+000, 8.2703473E-002, 0.0000000E+000
 1.1682157E+001, 1.3378065E+003,-1.4679171E+002,-8.7853462E+002,-1.6355424E+002, 3.3015557E-001, 0.0000000E+000, 0.0000000E+000, 3.0387068E+002, 1.4925604E+002, 0.0000000E+000, 8.2703473E-002, 0.0000000E+000
 1.1856842E+001, 1.2957983E+003,-1.4410003E+002,-8.5407641E+002,-1.5447252E+002, 3.2979421E-001, 0.0000000E+000, 0.0000000E+000, 2.3844661E+002, 1.4347914E+002, 0.0000000E+000, 8.2703473E-002, 0.0000000E+000
 1.2031528E+001, 1.2638362E+003,-1.3875570E+002,-8.7427300E+002,-1.5525156E+002, 3.2946365E-001, 0.0000000E+000, 0.0000000E+000, 2.2085401E+002, 9.5885392E+001, 0.0000000E+000, 8.2703473E-002, 0.0000000E+000
 1.2206212E+001, 1.2390724E+003,-1.8264123E+002,-9.1869535E+002,-1.6174282E+002, 3.2919669E-001, 0.0000000E+000, 0.0000000E+000, 1.9143489E+002,-2.3677803E+001, 0.0000000E+000, 8.2703473E-002, 0.0000000E+000
